"start_year","start_month","start_day","end_year","end_month","end_day","latitude","longitude","end_date","start_date","days_between","num_earthquakes_before_erupt","exp_num_earthquakes_before_erupt"
2020,3,23,2020,4,2,1.112,124.737,2020-04-02,2020-03-23,10,1,0.367879441171442
2020,2,22,2020,2,22,13.434,-88.269,2020-02-22,2020-02-22,0,1,0.367879441171442
2020,2,10,2020,4,6,-21.244,55.708,2020-04-06,2020-02-10,56,0,0
2020,1,31,2020,4,17,10.83,-85.324,2020-04-17,2020-01-31,77,0,0
2020,1,12,2020,1,12,-0.37,-91.55,2020-01-12,2020-01-12,0,1,0.367879441171442
2020,1,12,2020,1,22,14.002,120.993,2020-01-22,2020-01-12,10,4,0.0732625555549367
2020,1,11,2020,4,17,30.443,130.217,2020-04-17,2020-01-11,97,3,0.149361205103592
2019,12,9,2019,12,9,-37.52,177.18,2019-12-09,2019-12-09,0,1,0.367879441171442
2019,12,7,2020,3,15,51.93,179.58,2020-03-15,2019-12-07,99,0,0
2019,12,5,2020,4,17,27.247,140.874,2020-04-17,2019-12-05,134,0,0
2019,11,7,2019,12,7,52.825,-169.944,2019-12-07,2019-11-07,30,3,0.149361205103592
2019,11,2,2020,4,16,30.793,130.305,2020-04-16,2019-11-02,166,2,0.270670566473225
2019,10,24,2020,4,17,56.056,160.642,2020-04-17,2019-10-24,176,1,0.367879441171442
2019,10,13,2019,10,22,-19.18,-174.87,2019-10-22,2019-10-13,9,1,0.367879441171442
2019,8,7,2019,8,25,36.406,138.523,2019-08-25,2019-08-07,18,0,0
2019,8,2,2019,11,12,-37.856,-71.183,2019-11-12,2019-08-02,102,1,0.367879441171442
2019,7,26,2019,9,17,-6.77,107.6,2019-09-17,2019-07-26,53,0,0
2019,7,23,2020,4,9,54.756,-163.97,2020-04-09,2019-07-23,261,0,0
2019,7,23,2020,4,13,4.892,-75.324,2020-04-13,2019-07-23,265,0,0
2019,7,16,2019,8,24,51.93,179.58,2019-08-24,2019-07-16,39,1,0.367879441171442
2019,6,26,2019,10,5,-5.05,151.33,2019-10-05,2019-06-26,101,15,4.58853480752739e-06
2019,6,24,2019,12,24,-16.355,-70.903,2019-12-24,2019-06-24,183,0,0
2019,6,22,2019,7,1,48.292,153.25,2019-07-01,2019-06-22,9,0,0
2019,6,11,2019,10,27,-21.244,55.708,2019-10-27,2019-06-11,138,0,0
2019,6,1,2019,6,7,52.076,-176.13,2019-06-07,2019-06-01,6,0,0
2019,5,16,2019,10,7,48.092,153.2,2019-10-07,2019-05-16,144,0,0
2019,5,11,2019,7,12,19.514,-103.62,2019-07-12,2019-05-11,62,0,0
